BOO eP   7706190224 5640        5860iS                        FLD       140 115 gg
BUA iP   7706190224 5710        6030iS                        FLD       165 115 gg
COLIiP   7706190224 5790        6160iS                        FLD       148 115 gg
                 1                                              D
BOO iP+  7706190652 3790        3970iS                        FLD       190 116 gg
BAD iP-  7706190652 3820        4030iS                        FLD       235 116 gg
BUA iP-  7706190652 3900        4160iS                        FLD       216 116 gg
COLIiP-  7706190652 4040        4450iS                        FLD       185 116 gg
                 1                                              D
BAD iPD  7706191536 3400        3650iS                        FLD       557 117 gg
COLIiPD  7706191536 3500                                      FLD       308 117 g
BUA iPD  7706191536 3530        3870iS                        FLD       409 117 gg
BOO iPC  7706191536 3550        3870iS                        FLD       282 117 gg
                 1                                              D
BOO iPC  7706201728 2590        2760iS                        FLD       465 118 gg
BUA iPD  7706201728 2740        3030iS                        FLD       445 118 gg
BAD iPD  7706201728 2820        3150iS                        FLD       440 118 gg
TRI eP 3 7706201728 4030        5230iS                        FLD           118 gg
                 1                                              D
BOO iP+  7706202135 0520         650iS                        FLD       182 119 gg
BAD iP-  7706202135 0570         760iS                        FLD       222 119 gg
BUA iP-  7706202135 0580         790iS                        FLD       171 119 gg
                 1                                              D
BOO iP-  7706210421 5120        5260iS                        FLD       151 120 gg
BUA iP+  7706210421 5180        5400iS                        FLD       130 120 gg
BAD eP   7706210421 5250        5510eS                        FLD       143 120 gg
                 1                                              D
BOO eP   7706210455 3410        3550iS                        FLD        35 121 gg
BAD iP   7706210455 3430        3580iS                        FLD        56 121 gg
BUA iP   7706210455 3440        3630iS                        FLD        37 121 gg
                 1                                              D
BOO iP+  7706210834 2100        2230iS                        FLD       195 122 gg
BUA iP-  7706210834 2260        2540iS                        FLD       123 122 gg
BAD eP   7706210834 2340        2670iS                        FLD       140 122 gg
                 1                                              D
BOO iPD  7706220642 1850        1990iS                        FLD        71 123 gg
BUA eP   7706220642 1900        2080iS                        FLD        80 123 gg
BAD    4 7706220642 0000        2130eS                        FLD           123  g
                 1                                              D
BAD iP   7706221607 5320        5740iS                        FLD       295 124 gg
BOO eP   7706221607 5370        5830eS                        FLD       232 124 gg
COLIeP   7706221607 5410        5880iS                        FLD       222 124 gg
BUA eP   7706221607 5450        5970iS                        FLD       210 124 gg
                 1                                              D
BOO iP+  7706231405 5280        5480iS                        FLD       146 125 gg
BUA eP   7706231405 5430        5800iS                        FLD       151 125 gg
BAD eP   7706231405 5480        5880iS                        FLD       185 125 gg
COLIeP   7706231405 5730        6320eS                        FLD       151 125 gg
                 1                                              D
BOO eP   7706240214 4100        4220iS                        FLD        86 126 gg
BUA eP   7706240214 4240        4450iS                        FLD        55 126 gg
BAD eP   7706240214 4290        4550eS                        FLD        88 126 gg
COLIeP   7706240214 4570        5050iS                        FLD        55 126 gg
