MODEL,WEIGHT,station,PHASE,THRESHOLD,timestamp,prob
EQTransformer,original,DST2,S,0.2,2023-06-04T00:25:16.320000Z,3
EQTransformer,original,DST2,P,0.2,2023-06-14T09:18:19.260000Z,2
EQTransformer,original,DST2,S,0.2,2023-06-14T09:18:20.880000Z,2
EQTransformer,original,DST2,P,0.2,2023-06-22T09:03:57.820000Z,0
EQTransformer,original,FETA,S,0.2,2023-06-04T02:28:53.830000Z,2
EQTransformer,original,FETA,P,0.2,2023-06-27T09:42:35.500000Z,2
EQTransformer,original,FUSE,P,0.2,2023-06-04T03:09:45.560000Z,2
EQTransformer,original,FUSE,S,0.2,2023-06-04T03:09:48.180000Z,2
EQTransformer,original,FUSE,P,0.2,2023-06-05T08:28:04.900000Z,1
EQTransformer,original,FUSE,S,0.2,2023-06-05T08:29:09.500000Z,2
EQTransformer,original,FUSE,P,0.2,2023-06-11T23:30:42.580000Z,2
EQTransformer,original,FUSE,S,0.2,2023-06-11T23:30:44.320000Z,2
EQTransformer,original,FUSE,P,0.2,2023-06-22T13:30:15.670000Z,2
EQTransformer,original,FUSE,S,0.2,2023-06-22T13:30:17.660000Z,2
EQTransformer,original,FUSE,P,0.2,2023-06-22T18:52:24.240000Z,1
EQTransformer,original,FUSE,S,0.2,2023-06-22T18:52:26.030000Z,2
EQTransformer,original,FUSE,S,0.2,2023-06-23T05:22:08.000000Z,2
EQTransformer,original,FUSE,P,0.2,2023-06-28T01:24:23.710000Z,0
EQTransformer,original,FUSE,S,0.2,2023-06-28T01:24:25.260000Z,2
EQTransformer,original,FVI,P,0.2,2023-06-03T21:45:32.520000Z,2
EQTransformer,original,FVI,S,0.2,2023-06-05T21:00:14.390000Z,3
EQTransformer,original,GAGG,P,0.2,2023-06-02T02:18:28.800000Z,0
EQTransformer,original,GAGG,P,0.2,2023-06-09T14:19:19.310000Z,0
EQTransformer,original,GAGG,S,0.2,2023-06-09T14:19:23.870000Z,2
EQTransformer,original,GAGG,S,0.2,2023-06-13T17:17:28.450000Z,3
EQTransformer,original,GAGG,P,0.2,2023-06-14T10:35:33.830000Z,0
EQTransformer,original,GEPF,P,0.2,2023-06-05T08:28:03.700000Z,2
EQTransformer,original,GEPF,S,0.2,2023-06-05T08:28:47.100000Z,2
EQTransformer,original,GEPF,S,0.2,2023-06-05T21:00:12.940000Z,3
EQTransformer,original,GEPF,S,0.2,2023-06-23T05:22:08.050000Z,3
EQTransformer,original,GEPF,P,0.2,2023-06-28T01:24:25.120000Z,0
EQTransformer,original,GEPF,S,0.2,2023-06-28T01:24:27.610000Z,0
EQTransformer,original,GORS,P,0.2,2023-06-01T23:54:24.350000Z,0
EQTransformer,original,GORS,P,0.2,2023-06-03T08:29:29.880000Z,2
EQTransformer,original,GORS,S,0.2,2023-06-03T08:29:32.760000Z,2
EQTransformer,original,GORS,P,0.2,2023-06-03T21:13:52.450000Z,1
EQTransformer,original,GORS,P,0.2,2023-06-09T00:43:29.690000Z,3
EQTransformer,original,GORS,S,0.2,2023-06-09T00:43:33.580000Z,2
EQTransformer,original,GORS,P,0.2,2023-06-11T21:30:38.220000Z,2
EQTransformer,original,GORS,P,0.2,2023-06-14T00:33:52.990000Z,2
EQTransformer,original,GORS,S,0.2,2023-06-14T00:33:58.310000Z,3
EQTransformer,original,GORS,P,0.2,2023-06-20T03:40:35.510000Z,2
EQTransformer,original,GORS,S,0.2,2023-06-21T14:18:31.700000Z,2
EQTransformer,original,GORS,P,0.2,2023-06-22T07:15:18.870000Z,2
EQTransformer,original,GORS,S,0.2,2023-06-22T07:15:23.570000Z,3
EQTransformer,original,GORS,P,0.2,2023-06-28T08:33:00.740000Z,2
