index;event-id;origin_time(UTC);t_err;lat;lon;h_err;depth;v_err;gap;ml;md;place;event_type
00135;2024_00135;2024-01-27T22:06:58.910; 0.07;46.4755;13.0745;  0.4;  6.2;  0.4;185; 0.3; 0.8;ARTA (FRIULI);[earthquake]
00136;2024_00136;2024-01-28T02:08:51.940; 0.08;46.3772;13.6853;  0.7;  3.3;  0.7;218; 0.7; 0.9;SOCA (SLOVENIA);[earthquake]
00137;2024_00137;2024-01-28T04:08:00.620; 0.02;46.4672;13.0612;  0.1;  6.7;  0.1;182;-0.1; 0.4;ARTA (FRIULI);[earthquake]
00138;2024_00138;2024-01-28T15:45:51.650; 0.15;46.3453;13.1078;  0.5;  3.6;  0.5; 87; 0.4; 0.9;MOGGIO UDINESE (FRIULI);[earthquake]
00139;2024_00139;2024-01-28T17:58:29.360; 0.10;46.3448;13.0493;  0.4;  5.5;  0.4;112; 0.2; 0.7;TOLMEZZO (FRIULI);[earthquake]
00140;2024_00140;2024-01-29T02:12:36.260; 0.23;46.6370;10.2903;  0.9;  9.8;  0.9;160; 0.6; 0.9;ACQUA DEL GALLO (LOMBARDIA);[earthquake]
00141;2024_00141;2024-01-29T07:28:46.910; 0.02;46.3095;13.1405;  0.2;  9.2;  0.2;189; 0.5; 0.7;GEMONA (FRIULI);[earthquake]
00142;2024_00142;2024-01-29T18:47:17.300; 0.13;45.9083;14.1792;  0.5; 19.4;  0.5;140; 1.0; 1.2;HRUSICA (SLOVENIA);[earthquake]
00143;2024_00143;2024-01-30T01:00:54.600; 0.13;46.6618;10.1423;  0.4;  9.0;  0.4;105; 0.8; 1.0;PONTE DEL GALLO (LOMBARDIA);[earthquake]
00144;2024_00144;2024-01-30T06:58:31.200; 0.22;45.5893;11.1125;  1.3;  9.9;  1.3;240; 1.2; 1.7;SELVA DI PROGNO (VENETO);[earthquake]
00145;2024_00145;2024-01-30T08:55:24.100; 0.47;45.5912;10.3412;  3.1; 13.2;  3.1;241; 1.9; 2.3;GAVARDO (LOMBARDIA);[earthquake]
00146;2024_00146;2024-01-30T09:17:57.090; 0.26;45.5350;13.8295;  1.7;  8.8;  1.7;254; 1.6; 1.4;S.SERGIO (SLOVENIA);[earthquake]
00147;2024_00147;2024-01-30T09:34:30.880; 0.23;45.7468;14.0410;  2.1; 13.5;  2.1;154; 0.9; 0.6;SENOZECE (SLOVENIA);[earthquake]
00148;2024_00148;2024-01-30T11:57:49.150; 0.29;45.9558;14.3270;  1.4;  6.4;  1.4;137; 1.4; 1.9;VRHNIKA (SLOVENIA);[earthquake]
00149;2024_00149;2024-01-30T14:55:55.340; 0.37;45.9103;14.1877;  1.1;  9.6;  1.1; 69; 1.8; 1.8;HRUSICA (SLOVENIA);[earthquake]
00150;2024_00150;2024-01-30T15:24:06.070; 0.56;46.3345;13.0905;  4.4;  5.9;  4.4;175; 0.4; 0.4;MOGGIO UDINESE (FRIULI);[earthquake]
00151;2024_00151;2024-01-30T22:51:12.380; 0.09;45.5753;11.1182;  1.5;  4.7;  1.5;251; 0.8; 0.9;TREGNAGO (VENETO);[earthquake]
00152;2024_00152;2024-01-31T00:34:16.480; 0.07;46.3967;13.6778;  0.3;  8.2;  0.3;169; 0.3; 0.8;SOCA (SLOVENIA);[earthquake]
00153;2024_00153;2024-01-31T03:13:11.480; 0.41;45.5540;10.2343;  1.5; 17.8;  1.5;230; 1.4; 1.9;BRESCIA (LOMBARDIA);[earthquake]
00154;2024_00154;2024-01-31T09:37:08.080; 0.23;45.7472;14.0270;  2.5; 13.6;  2.5;158; 1.0; 1.5;SENOZECE (SLOVENIA);[earthquake]
00155;2024_00155;2024-01-31T14:31:26.130; 0.40;46.0467;14.1950;  0.9; 17.9;  0.9; 88; 1.1; 2.0;ZIRI (SLOVENIA);[earthquake]
